"Date","Transaction","Name","Memo","Amount"
"2024-07-19","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414199204818694157; 07999; ; ; ;","-12.00"
"2024-07-22","DEBIT","SHEETZ 2726   00027268 HERNDON       VA","24164074203498546809979; 05542; ; ; ;","-44.70"
"2024-07-22","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414202205024124215; 07999; ; ; ;","-12.00"
"2024-07-22","DEBIT","Prime Video *RJ4ZW5V70 888-802-3080  WA","24692164203107836484548; 05818; ; ; ;","-4.99"
"2024-07-22","DEBIT","TST* RASA - MOSAIC     FAIRFAX       VA","24137464202501093209408; 05812; ; ; ;","-12.35"
"2024-07-22","DEBIT","Amazon Music*RJ9CT6F42 888-802-3080  WA","24692164202106748616545; 05818; ; ; ;","-9.99"
"2024-07-22","DEBIT","NikePOS_US             Leesburg      VA","24204294202001898268021; 05655; ; ; ;","-26.49"
"2024-07-22","DEBIT","Columbia 438           Leesburg      VA","24204294202001958808039; 05651; ; ; ;","-52.99"
"2024-07-22","DEBIT","ALDI 71069             FALLS CHURCH  VA","24427334201710045095766; 05411; ; ; ;","-53.81"
"2024-07-24","DEBIT","AMAZON MKTPL*RJ9GB7PM1 Amzn.com/bill WA","24692164205109029068979; 05942; ; ; ;","-30.51"
"2024-07-24","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414204205152042179; 07999; ; ; ;","-12.00"
"2024-07-24","DEBIT","SOLACE OUTPOST         571-2157068   VA","24000974205025400611204; 05812; ; ; ;","-24.66"
"2024-07-25","DEBIT","HARRIS TEETER #308     VIENNA        VA","24445004207000797887821; 05411; ; ; ;","-12.40"
"2024-07-26","DEBIT","ALDI 71069             FALLS CHURCH  VA","24427334207710044423807; 05411; ; ; ;","-23.55"
"2024-07-26","DEBIT","ARLINGTON METER PARKIN ARLINGTON     VA","24755424207262074932951; 07523; ; ; ;","-3.50"
"2024-07-29","DEBIT","Peacock 30B7B Premium  212-6640138   NY","24204294210002640438086; 04899; ; ; ;","-7.99"
"2024-07-29","DEBIT","THE STATE THEATRE      703-2379830   VA","24013394210006235046013; 07929; ; ; ;","-24.50"
"2024-07-29","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414208205449822926; 07999; ; ; ;","-2.92"
"2024-07-29","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414208205449746455; 07999; ; ; ;","-6.10"
"2024-07-29","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414208205449785693; 07999; ; ; ;","-12.00"
"2024-07-29","DEBIT","IFH BLUE & GRAY GARAGE FALLS CHURCH  VA","24323004209017617084707; 07523; ; ; ;","-5.00"
"2024-07-30","DEBIT","IFH BLUE & GRAY GARAGE FALLS CHURCH  VA","24323004211018611058396; 07523; ; ; ;","-5.00"
"2024-07-30","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414210205590591367; 07999; ; ; ;","-12.00"
"2024-07-30","DEBIT","ALDI 71069             FALLS CHURCH  VA","24427334211710013852865; 05411; ; ; ;","-42.79"
"2024-07-31","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414211205662130028; 07999; ; ; ;","-12.00"
"2024-07-31","DEBIT","IFH BLUE & GRAY GARAGE FALLS CHURCH  VA","24323004212019192090617; 07523; ; ; ;","-5.00"
"2024-07-31","DEBIT","Caboose II LLC         170-3663883   VA","24793384213001487047052; 05812; ; ; ;","-34.35"
"2024-07-31","DEBIT","DEPARTMENT MOTOR VEHIC 804-4977100   VA","24755424213732130350994; 09399; ; ; ;","-32.00"
"2024-08-02","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414213205791977867; 07999; ; ; ;","-12.00"
"2024-08-05","DEBIT","WM SUPERCENTER #3639   DULLES        VA","24445004218400183713325; 05411; ; ; ;","-13.86"
"2024-08-05","DEBIT","TST* RASA - MOSAIC     FAIRFAX       VA","24137464216501201924355; 05812; ; ; ;","-12.35"
"2024-08-05","DEBIT","AMERICAN 0012164842742 FORT WORTH    TX","24035964216030260093268; 03001; ; POWERS/ADAM; 2024-08-31 WASHINGTON TO BOSTON BOSTON TO WASHINGTON;","-151.95"
"2024-08-05","DEBIT","TARGET        00027904 FAIRFAX       VA","24164074215091017214088; 05310; ; ; ;","-8.47"
"2024-08-06","DEBIT","SHEETZ 0649   00006494 STERLING      VA","24164074218498544562052; 05542; ; ; ;","-39.74"
"2024-08-06","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414217206117397935; 07999; ; ; ;","-12.00"
"2024-08-07","DEBIT","TARGET        00027904 FAIRFAX       VA","24164074219091017423990; 05310; ; ; ;","-0.86"
"2024-08-07","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414218206195206601; 07999; ; ; ;","-12.00"
"2024-08-07","DEBIT","Caboose II LLC         170-3663883   VA","24793384220002004907050; 05812; ; ; ;","-23.19"
"2024-08-08","DEBIT","11SIX24 PICKLEBALL     HTTPS11SIX24. DC","24011344221000023365853; 05941; ; ; ;","-74.19"
"2024-08-09","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414220206336496885; 07999; ; ; ;","-12.00"
"2024-08-09","DEBIT","ALDI 71069             FALLS CHURCH  VA","24427334221710044106651; 05411; ; ; ;","-45.92"
"2024-08-12","DEBIT","Amazon.com*RM0TR3HM0   Amzn.com/bill WA","24692164224105930057546; 05942; ; ; ;","-5.49"
"2024-08-12","DEBIT","HERTZ #0464826         OKLAHOMA CITY OK","24941354224019248112545; 03357; ; ; FOR 01 DAYS RENTL: 009716022;","-393.79"
"2024-08-12","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414223206544504311; 07999; ; ; ;","-12.00"
"2024-08-12","DEBIT","ALDI 71069             FALLS CHURCH  VA","24427334224710044351080; 05411; ; ; ;","-8.22"
"2024-08-12","DEBIT","TENNIS LEAGUE NETWORK  857-2888815   MA","24207854224170800831416; 07999; ; ; ;","-30.76"
"2024-08-12","DEBIT","EXPEDIA 72894218785693 EXPEDIA.COM   WA","24692164223104904795562; 04722; ; ; ;","-162.13"
"2024-08-12","DEBIT","EXPEDIA 72894352202664 EXPEDIA.COM   WA","24692164223105121038918; 04722; ; ; ;","-743.88"
"2024-08-12","DEBIT","WAL-MART #5969         CHANTILLY     VA","24226384224001474124975; 05411; ; ; ;","-16.08"
"2024-08-12","DEBIT","CVS/PHARMACY #01411    FALLS CHURCH  VA","24137464224001256587736; 05912; ; ; ;","-0.52"
"2024-08-12","DEBIT","CVS/PHARMACY #01411    FALLS CHURCH  VA","24137464224001256587819; 05912; ; ; ;","-5.92"
"2024-08-12","DEBIT","TST*TEDS BULLETIN BALL Arlington     VA","24692164222103808472295; 05812; ; ; ;","-28.15"
"2024-08-12","DEBIT","TST* RASA - MOSAIC     FAIRFAX       VA","24137464222500878275283; 05812; ; ; ;","-12.35"
"2024-08-12","DEBIT","93801- ARL CO BALLSTON ARLINGTON     VA","24034544222001870375554; 07523; ; ; ;","-1.00"
"2024-08-13","DEBIT","TST*RUTHIES ALL DAY    Arlington     VA","24692164225106392754850; 05812; ; ; ;","-29.74"
"2024-08-13","DEBIT","SSP*Pickleballerz      703-6572100   VA","24906414224206600738380; 07999; ; ; ;","-12.00"
"2024-08-14","DEBIT","INN AT ST JOHN         207-7736481   ME","24183104226900018500296; 07011; ; ; ;","-162.41"
"2024-08-15","DEBIT","SQ *MEETTIPPY          Falls Church  VA","24692164227108591362814; 07230; ; ; ;","-19.02"
